id,symbol,date,monthly_open,monthly_high,monthly_low,monthly_volume
20054,MSFT,2010-02-26,28.39,29.03,27.57,1074643300
20055,MSFT,2010-01-29,30.62,31.24,27.66,1359650900
20056,MSFT,2009-12-31,29.52,31.5,29.25,920605500
20057,MSFT,2009-11-30,27.7,30.14,27.41,1018256700
20058,MSFT,2009-10-30,25.405,29.35,24.43,1523430100
20059,MSFT,2009-09-30,24.35,26.25,23.76,1038979700
20060,MSFT,2009-08-31,23.82,25.49,23.03,993250400
20061,MSFT,2009-07-31,24.05,25.72,22.0,1517459800
20062,MSFT,2009-06-30,21.0,24.34,20.86,1411144700
20063,MSFT,2009-05-29,20.19,20.94,19.01,1101122400
20064,MSFT,2009-04-30,18.23,21.2,18.18,1562400700
20065,MSFT,2009-03-31,16.035,18.88,14.87,1625752800
20066,MSFT,2009-02-27,17.01,19.93,16.1,1456213400
20067,MSFT,2009-01-30,19.5328,21.0,16.75,1564043400
20068,MSFT,2008-12-31,19.875,21.25,18.47,1546943400
20069,MSFT,2008-11-28,22.48,23.66,17.5,1794911800
20070,MSFT,2008-10-31,26.38,27.47,20.65,3044579400
20071,MSFT,2008-09-30,27.665,27.76,23.5,1927538700
20072,MSFT,2008-08-29,25.95,28.5,25.07,1206949700
20073,MSFT,2008-07-31,27.22,27.91,24.87,1579425446
20074,MSFT,2008-06-30,28.24,29.57,27.11,1560439100
20075,MSFT,2008-05-30,28.48,30.53,27.95,1405170200
20076,MSFT,2008-04-30,28.83,32.1,27.93,1444720000
20077,MSFT,2008-03-31,27.24,29.59,26.87,1452390200
20078,MSFT,2008-02-29,31.06,33.25,27.02,2324580800
20079,MSFT,2008-01-31,35.79,35.96,31.04,1950301600
20080,MSFT,2007-12-31,33.5,36.72,32.63,1064817100
20081,MSFT,2007-11-30,36.53,37.5,32.68,1830846800
20082,MSFT,2007-10-31,29.46,37.0,29.29,1772076700
20083,MSFT,2007-09-28,28.5,29.85,28.27,1117419500
20084,MSFT,2007-08-31,28.97,30.1,27.51,1228579500
20085,MSFT,2007-07-31,29.67,31.84,28.95,1295548000
20086,MSFT,2007-06-29,30.79,30.9,29.04,1181412800
20087,MSFT,2007-05-31,29.94,31.16,29.9,1327154700
20088,MSFT,2007-04-30,27.89,30.74,27.56,958964900
20089,MSFT,2007-03-30,27.82,28.55,26.6,1269506500
20090,MSFT,2007-02-28,30.84,30.94,27.79,1290850900
20091,MSFT,2007-01-31,29.91,31.48,29.4,1324518200
20092,MSFT,2006-12-29,29.23,30.26,28.8,1137160900
20093,MSFT,2006-11-30,28.78,30.0001,28.58,1239142000
20094,MSFT,2006-10-31,27.32,28.8501,27.15,1290967400
20095,MSFT,2006-09-29,25.89,27.52,25.39,1097482600
20096,MSFT,2006-08-31,24.02,26.2501,23.85,1134188400
20097,MSFT,2006-07-31,23.53,24.6,22.23,1332298100
20098,MSFT,2006-06-30,22.74,23.65,21.4599,1971637200
20099,MSFT,2006-05-31,24.33,25.0,22.45,2309193400
20100,MSFT,2006-04-28,27.67,27.941,24.0,1446126900
20101,MSFT,2006-03-31,26.99,28.22,26.62,1437940900
20102,MSFT,2006-02-28,27.95,28.07,26.34,1047699000
20103,MSFT,2006-01-31,26.25,28.38,26.1,1388622700
20104,MSFT,2005-12-30,27.73,28.101,26.1,1271695500
20105,MSFT,2005-11-30,25.61,28.25,25.61,1444948300
20106,MSFT,2005-10-31,25.71,25.8,24.25,1439659900
20107,MSFT,2005-09-30,27.38,27.39,25.12,1348861500
20108,MSFT,2005-08-31,25.82,27.94,25.76,1441979300
20109,MSFT,2005-07-29,24.85,26.48,24.5,1321407700
20110,MSFT,2005-06-30,25.73,26.0,24.82,1303029500
20111,MSFT,2005-05-31,25.23,26.09,24.31,1270563700
20112,MSFT,2005-04-29,24.24,25.45,23.94,1520253700
20113,MSFT,2005-03-31,25.2,25.79,23.82,1541411300
20114,MSFT,2005-02-28,26.25,26.5,25.1296,1361126000
20115,MSFT,2005-01-31,26.8,27.1,25.64,1521414300
20116,MSFT,2004-12-31,26.95,27.44,26.679,1803777700
20117,MSFT,2004-11-30,28.15,30.2,24.86,1739407300
20118,MSFT,2004-10-29,27.81,28.89,27.42,1300591200
20119,MSFT,2004-09-30,27.24,27.79,26.74,1141012300
20120,MSFT,2004-08-31,28.27,28.55,25.95,1094195300
20121,MSFT,2004-07-30,28.69,29.89,27.25,1550446900
20122,MSFT,2004-06-30,26.12,28.8,25.86,1534889700
20123,MSFT,2004-05-28,26.21,26.6,25.42,1141456900
20124,MSFT,2004-04-30,24.95,27.72,24.85,1558947800
20125,MSFT,2004-03-31,26.65,26.72,24.01,1703041000
20126,MSFT,2004-02-27,27.63,27.8,26.35,1032065600
20127,MSFT,2004-01-30,27.58,28.83,27.26,1232189000
20128,MSFT,2003-12-31,25.9,27.55,25.5,1476461300
20129,MSFT,2003-11-28,26.35,26.75,24.84,1442336700
20130,MSFT,2003-10-31,28.03,29.46,25.91,1400032500
20131,MSFT,2003-09-30,26.7,30.0,26.47,1253309100
20132,MSFT,2003-08-29,26.33,26.95,25.43,966506900
20133,MSFT,2003-07-31,25.59,27.81,25.39,1292011000
20134,MSFT,2003-06-30,24.98,26.51,23.6,1569995800
20135,MSFT,2003-05-30,25.54,26.5,23.89,1311003700
20136,MSFT,2003-04-30,24.46,26.43,23.95,1249617700
20137,MSFT,2003-03-31,24.02,26.8,22.55,1371902600
20138,MSFT,2003-02-28,47.93,49.1,23.3,910628150
20139,MSFT,2003-01-31,52.3,57.32,47.03,859331100
20140,MSFT,2002-12-31,58.65,58.96,51.26,634185100
20141,MSFT,2002-11-29,52.43,58.64,51.9,777998600
20142,MSFT,2002-10-31,44.32,54.07,43.19,1237685300
20143,MSFT,2002-09-30,48.52,51.1,43.11,847852900
20144,MSFT,2002-08-30,47.58,53.45,43.8,857878600
20145,MSFT,2002-07-31,54.12,54.93,41.41,1216094000
20146,MSFT,2002-06-28,50.99,56.44,49.17,917036500
20147,MSFT,2002-05-31,52.16,56.44,48.35,710133100
20148,MSFT,2002-04-30,59.83,60.4,51.44,708739700
20149,MSFT,2002-03-28,59.05,65.0,58.31,536622100
20150,MSFT,2002-02-28,64.15,64.5,57.15,565579600
20151,MSFT,2002-01-31,66.65,70.62,61.33,680057900
20152,MSFT,2001-12-31,63.83,69.89,63.8,488544500
20153,MSFT,2001-11-30,60.08,68.34,59.6,665484300
20154,MSFT,2001-10-31,50.94,63.63,50.41,875445500
20155,MSFT,2001-09-28,57.19,59.08,47.5,755412200
20156,MSFT,2001-08-31,66.8,67.54,56.3,576948200
20157,MSFT,2001-07-31,72.05,73.15,64.2,727600500
20158,MSFT,2001-06-29,69.6,76.15,66.01,724588900
20159,MSFT,2001-05-31,67.66,72.15,67.25,888652900
20160,MSFT,2001-04-30,54.81,71.1,51.06,1037903500
20161,MSFT,2001-03-30,58.56,61.13,49.75,947674900
20162,MSFT,2001-02-28,60.81,65.06,53.88,768447800
20163,MSFT,2001-01-31,44.13,64.75,42.88,1002765600
20164,MSFT,2000-12-29,58.06,60.63,40.31,1028334100
20165,MSFT,2000-11-30,68.5,72.37,57.0,991731300
20166,MSFT,2000-10-31,60.5,70.12,48.44,1234707800
20167,MSFT,2000-09-29,70.0,72.06,58.63,712766900
20168,MSFT,2000-08-31,69.94,74.87,68.12,609699900
20169,MSFT,2000-07-31,79.69,82.87,67.25,617092900
20170,MSFT,2000-06-30,64.37,82.19,63.81,733525100
20171,MSFT,2000-05-31,72.87,74.0,60.38,672215400
20172,MSFT,2000-04-28,94.44,96.5,65.0,1129073300
20173,MSFT,2000-03-31,89.62,115.0,88.94,1014093800
20174,MSFT,2000-02-29,98.5,110.0,88.12,667243800
20175,MSFT,2000-01-31,117.37,118.62,94.87,637437600
20176,MSFT,1999-12-31,91.06,119.94,90.87,630488900
20177,IBM,2023-07-11,133.42,134.56,131.55,16218503
20178,IBM,2023-06-30,128.44,139.469,127.78,100722016
20179,IBM,2023-05-31,126.35,130.0699,120.55,95710890
20180,IBM,2023-04-28,130.97,132.61,124.56,83664114
20181,IBM,2023-03-31,128.9,131.48,121.71,138093084
20182,IBM,2023-02-28,134.49,137.39,128.86,76080679
20183,IBM,2023-01-31,141.1,147.18,132.98,105576019
20184,IBM,2022-12-30,149.98,153.21,137.195,86426226
20185,IBM,2022-11-30,138.25,150.46,133.97,93620235
20186,IBM,2022-10-31,120.16,138.8615,115.545,113480787
20187,IBM,2022-09-30,128.4,130.99,118.61,87256958
20188,IBM,2022-08-31,130.75,139.34,128.4,77392342
20189,IBM,2022-07-29,141.0,141.87,125.13,129801061
20190,IBM,2022-06-30,139.67,144.73,132.85,105815743
20191,IBM,2022-05-31,133.0,139.83,125.8,113207659
20192,IBM,2022-04-29,129.66,141.88,124.91,107525264
